,v,t,aps,cellbuilder,params,v/t,apStartIndex,firstOver20Time,firstOver20Value,peakTime,peakValue,maxSlopeTime,maxSlopePoint,maxSlopeValue,hyperMaxTime,hyperMaxValue,apEndIndex,Ap AHP,AP MaxSlope,midApUpTime,midApUpValue,midApDownTime,midApDownValue,tenPercentUpValue,tenPercentDownValue,ninetyPercentUpValue,ninetyPercentDownValue,tenPercentUpTime,tenPercentDownTime,ninetyPercentUpTime,ninetyPercentDownTime,AP Rise Time,AP Fall Time,AP HW,res_stablemean,res_maxmean,ih_slope,cell,rheobase,aisL,gbarIHSoma,nsynapses,ih-slope,rmp,step
10,"[-65.         -65.02120197 -65.04255782 ... -80.10214296 -80.10214556
 -80.10214815]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[198.225],<function CombinedTestBank.<locals>.stepLayout.<locals>.Synapses at 0x7fa10f0cee18>,"{'delay': 100, 'dur': 500, 'amp': 0.20874917440000013}","[-8.48100170e-01 -8.51177649e-01 -8.61294493e-01 ... -1.03789111e-04
 -1.03795016e-04 -1.03797967e-04]",7917,197.92005199898634,-56.09365749227553,198.34998675347973,31.509773473758468,198.16029411760377,-2.7380045982461034,393.00187647611574,212.6995524994375,-85.10257113154127,8508,-29.008913639265735,393.00187647611574,198.13676470583908,-12.442018795342435,199.29997037448663,-12.582234299595969,-47.11150017238042,-47.21456922313956,22.50195575510499,23.06763651265853,198.01911764701566,200.3499376305462,198.23088235289782,198.57499298339786,0.21176470588216034,1.7749446471483452,1.1632056686475494,58.89605756763876,68.5425173807768,[0.68896663],Synapses,0.20874917440000013,32.0,0.000140956438043,16,0.6889666347258592,-81.62133740118874,2
11,"[-65.         -65.02058815 -65.04131905 ... -79.30371558 -79.30371803
 -79.30372047]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[192.55],<function CombinedTestBank.<locals>.stepLayout.<locals>.Combined at 0x7fa10f0ceea0>,"{'delay': 100, 'dur': 500, 'amp': 0.2047871545600001}","[-8.23546754e-01 -8.26401596e-01 -8.36206702e-01 ... -9.77089060e-05
 -9.77123934e-05 -9.77141362e-05]",7691,192.270193245447,-55.862284617546166,192.6999868461405,31.518559410697737,192.5102941176089,3.221080647790812,387.2347712420728,206.89956027620866,-85.22497751090523,8276,-29.362692893359068,387.2347712420728,192.46323529407954,-16.09371620910397,193.6249713559848,-12.196189548943046,-48.88570842446984,-46.95832195154704,25.30246652267352,22.193238621739404,192.34558823525612,194.67493884120026,192.58088235290296,192.92499303250784,0.23529411764684482,1.7499458086924164,1.161736061905259,52.366455081652724,65.37385370969133,[0.6324666],Combined,0.2047871545600001,33.0,0.000281912876086,16,0.6324666018848311,-80.66983507011477,2
12,"[-65.         -65.0203212  -65.04081528 ... -78.94706389 -78.94706614
 -78.94706838]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[193.925],<function CombinedTestBank.<locals>.stepLayout.<locals>.HSoma at 0x7fa10f0cef28>,"{'delay': 100, 'dur': 500, 'amp': 0.20600854912000013}","[-8.12868331e-01 -8.16325928e-01 -8.27105396e-01 ... -8.97907921e-05
 -8.97952970e-05 -8.97975487e-05]",7745,193.62015949629267,-55.94989555804197,194.04998682411838,31.55626483126424,193.86029411760768,-0.46494368790397544,393.02074743604146,208.4495533360086,-85.4256440806678,8338,-29.47574852262582,393.02074743604146,193.836764705843,-10.3127176083563,194.99997053254697,-12.737558800537471,-46.04245280484578,-47.30152884588749,23.657343661994922,22.812285117938387,193.71911764701957,196.04993796330047,193.93088235290173,194.2749930208362,0.21176470588216034,1.7749449424642592,1.1632058267039724,49.47288454074519,60.65492727667381,[0.60750091],HSoma,0.20600854912000013,32.0,0.0003523910951075,25,0.6075009090228893,-81.03993285825474,3
13,"[-65.         -65.02113772 -65.0423701  ... -80.11468802 -80.11469042
 -80.11469283]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[189.325],<function CombinedTestBank.<locals>.stepLayout.<locals>.AIS at 0x7fa10f0d2048>,"{'delay': 100, 'dur': 500, 'amp': 0.21012384640000012}","[-8.45529800e-01 -8.47423204e-01 -8.55644851e-01 ... -9.63238138e-05
 -9.63327717e-05 -9.63372491e-05]",7562,189.04527386842676,-55.987555542856704,189.47498689845216,31.464407920643012,189.26176470584716,-6.383410856077587,385.16043035400554,203.92455431496234,-85.73213384413157,8157,-29.744578301274863,385.16043035400554,189.23823529408247,-15.712320785703207,190.3999714699558,-12.328321030433964,-48.77378234113534,-46.95901520444407,20.2591889740927,22.06013116965753,189.12058823525905,191.44993908454043,189.3323529411412,189.69999306023274,0.21176470588216034,1.7499460243076896,1.1617361758733296,58.529424584710334,65.809763135068,[0.70275555],AIS,0.21012384640000012,34.5,0.000140956438043,25,0.702755548947282,-82.54964127360026,3
14,"[-65.         -65.02120197 -65.04255782 ... -80.10092032 -80.10092302
 -80.10092572]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[218.5],<function CombinedTestBank.<locals>.stepLayout.<locals>.Synapses at 0x7fa10f0c5d08>,"{'delay': 100, 'dur': 500, 'amp': 0.2071678864000001}","[-8.48100170e-01 -8.51177649e-01 -8.61294493e-01 ... -1.08105482e-04
 -1.08109620e-04 -1.08111688e-04]",8729,218.21954451170288,-55.68839942068029,218.64998640950694,31.55396535709918,218.43676470582062,-6.152006245796102,388.78909461765437,232.89954407291393,-85.00618599550079,9316,-29.317786574820495,388.78909461765437,218.41323529405594,-15.584329487453985,219.5749704046751,-12.192763111445315,-48.60383859884811,-46.99994943063622,20.528962316663062,22.173138292034775,218.29558823523251,220.62493681005228,218.50735294111468,218.87499280109031,0.21176470588216034,1.7499440089619611,1.161735110619162,59.01252349579452,70.67666126213713,[0.6910873],Synapses,0.2071678864000001,32.0,0.000140956438043,11,0.6910873021898319,-81.12199367077595,3
15,"[-65.         -65.02025726 -65.04062849 ... -78.95455036 -78.9545528
 -78.95455524]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[218.75],<function CombinedTestBank.<locals>.stepLayout.<locals>.Combined at 0x7fa10f0c5c80>,"{'delay': 100, 'dur': 500, 'amp': 0.20090126848000012}","[-8.10310551e-01 -8.12590057e-01 -8.21483646e-01 ... -9.76379693e-05
 -9.76396576e-05 -9.76405011e-05]",8739,218.4695382618595,-56.03165166684064,218.89998640515944,31.458196333294108,218.6867647058204,-6.255370142015751,385.2742027353621,232.94955032801747,-85.3819701052432,9318,-29.35031843840256,385.2742027353621,218.6632352940557,-15.591308370589559,219.82497039520288,-12.33328612968673,-48.727085888984554,-46.98399623350502,20.334762639003824,22.045107900707354,218.5455882352323,220.87493678982804,218.75735294111445,219.1249927987861,0.21176470588216034,1.7499439910419312,1.1617351011471726,50.323185949724085,66.05657072547963,[0.61907528],Combined,0.20090126848000012,34.5,0.0003523910951075,11,0.619075276018761,-79.83225852459601,3
16,"[-65.         -65.02002762 -65.04023446 ... -78.61773902 -78.6177412
 -78.61774338]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[186.55],<function CombinedTestBank.<locals>.stepLayout.<locals>.HSoma at 0x7fa10f0c5bf8>,"{'delay': 100, 'dur': 500, 'amp': 0.20435988592000012}","[-8.01124877e-01 -8.04709416e-01 -8.15710222e-01 ... -8.72622560e-05
 -8.72660041e-05 -8.72678771e-05]",7451,186.2703432416884,-55.77573402384718,186.69998694313264,31.56924394001742,186.51029411761436,2.2868030724161184,390.04066858164924,200.9995604463092,-85.35222432491143,8040,-29.576490301064254,390.04066858164924,186.48676470584968,-7.684464853194795,187.62497156730043,-11.950533183363987,-49.21717197643427,-46.83861581301414,24.931425662349763,22.4301515272543,186.34558823526157,188.6749392923815,186.58088235290842,186.92499308391308,0.23529411764684482,1.7499462084684296,1.1382068614507546,47.51991803890212,59.62242290515183,[0.59258186],HSoma,0.20435988592000012,32.0,0.000422869314129,25,0.5925818634587368,-80.6241988947392,4
17,"[-65.         -65.02110305 -65.04226618 ... -80.12079356 -80.12079597
 -80.12079838]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[193.675],<function CombinedTestBank.<locals>.stepLayout.<locals>.AIS at 0x7fa10f0c5b70>,"{'delay': 100, 'dur': 500, 'amp': 0.20943632320000014}","[-8.44143131e-01 -8.45344677e-01 -8.52425828e-01 ... -9.64291842e-05
 -9.64381182e-05 -9.64425837e-05]",7736,193.39516512115173,-56.105905469902495,193.82498682779385,31.3999940007753,193.6117647058432,-5.8136637544785295,384.2126167695809,208.27455191018328,-85.97402870530759,8331,-29.868123235405093,384.2126167695809,193.58823529407852,-15.134811335022723,194.74997131601296,-12.487315749675114,-48.558452256702466,-47.663274311270484,20.542877340673527,23.2793154082569,193.4705882352551,195.8249379806143,193.68235294113725,194.02499379802603,0.21176470588216034,1.7999441825882627,1.1617360219344448,58.492481574624456,65.7669735846129,[0.70285492],AIS,0.20943632320000014,36.0,0.000140956438043,25,0.7028549195874342,-82.55107778718634,4
18,"[-65.         -65.02120197 -65.04255782 ... -80.09997579 -80.09997858
 -80.09998137]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[231.5],<function CombinedTestBank.<locals>.stepLayout.<locals>.Synapses at 0x7fa10f0c5ae8>,"{'delay': 100, 'dur': 500, 'amp': 0.20588516608000013}","[-8.48100170e-01 -8.51177649e-01 -8.61294493e-01 ... -1.11570260e-04
 -1.11572960e-04 -1.11574309e-04]",9248,231.1942201448308,-56.00503086048714,231.62498618013757,31.542606354252502,231.4352941175735,-0.6088861104744403,393.2863293886659,245.7995388143739,-84.87026675319402,9832,-28.865235892706878,393.2863293886659,231.41176470580882,-10.45279343437649,232.5499699049255,-11.727898061303039,-46.129318497418645,-47.396306866528285,23.597201042122997,22.765292632392264,231.2941176469854,233.62493492965433,231.50588235286756,231.84999267952068,0.21176470588216034,1.7749422501336483,1.138205199116669,59.07873188620976,72.40662191268346,[0.69325283],Synapses,0.20588516608000013,32.0,0.000140956438043,7,0.6932528329798147,-80.73028238601141,4
19,"[-65.         -65.01992934 -65.03994473 ... -78.63081604 -78.63081845
 -78.63082087]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[193.425],<function CombinedTestBank.<locals>.stepLayout.<locals>.Combined at 0x7fa10f0c5a60>,"{'delay': 100, 'dur': 500, 'amp': 0.1974986780800001}","[-7.97193455e-01 -7.98914631e-01 -8.06899579e-01 ... -9.65751038e-05
 -9.65755793e-05 -9.65758166e-05]",7725,193.12017199597946,-56.56325649065449,193.5499868322833,31.370333956594923,193.36029411760813,-1.0751923951716318,388.75029658852725,207.3995706624372,-85.32645803850257,8296,-28.763201547848077,388.75029658852725,193.33676470584345,-10.75571564412171,194.49997055081667,-13.108441946315306,-46.38775760405865,-48.09938713072426,23.202627648125144,22.550521712237448,193.21911764702003,195.57493722678507,193.4308823529022,193.77499302516358,0.21176470588216034,1.7999442016214857,1.1632058449732199,48.625122066812594,66.38008462143317,[0.60900572],Combined,0.1974986780800001,36.0,0.000422869314129,7,0.6090057210211902,-79.14980243718504,4
